filename,caption,shapes
scene_0020.png,blue triangle right of green square,triangle|blue|166|113|146|93|186|133;square|green|93|82|73|62|113|102
scene_0021.png,purple triangle below red triangle,triangle|purple|171|177|151|157|191|197;triangle|red|141|89|121|69|161|109
scene_0022.png,red triangle right of blue square,square|blue|72|57|52|37|92|77;triangle|red|210|110|190|90|230|130
scene_0023.png,yellow triangle left of yellow circle,triangle|yellow|98|200|78|180|118|220;circle|yellow|167|153|147|133|187|173
scene_0024.png,green triangle below blue square,square|blue|202|76|182|56|222|96;triangle|green|175|177|155|157|195|197
scene_0025.png,yellow circle left of red circle,circle|yellow|85|84|65|64|105|104;circle|red|212|183|192|163|232|203
scene_0026.png,green circle below red square,square|red|194|46|174|26|214|66;circle|green|79|200|59|180|99|220
scene_0027.png,green circle left of yellow triangle,triangle|yellow|195|145|175|125|215|165;circle|green|47|162|27|142|67|182
scene_0028.png,red triangle left of blue circle,triangle|red|111|51|91|31|131|71;circle|blue|162|85|142|65|182|105
scene_0029.png,yellow triangle below yellow square,square|yellow|201|54|181|34|221|74;triangle|yellow|166|198|146|178|186|218
scene_0030.png,green triangle left of purple circle,circle|purple|201|144|181|124|221|164;triangle|green|116|83|96|63|136|103
scene_0031.png,blue circle above red square,circle|blue|189|140|169|120|209|160;square|red|131|202|111|182|151|222
scene_0032.png,purple circle below green square,square|green|75|136|55|116|95|156;circle|purple|81|208|61|188|101|228
scene_0033.png,blue square left of purple square,square|blue|60|125|40|105|80|145;square|purple|108|86|88|66|128|106
scene_0034.png,blue circle left of green triangle,triangle|green|178|60|158|40|198|80;circle|blue|77|91|57|71|97|111
scene_0035.png,red triangle right of blue triangle,triangle|blue|88|107|68|87|108|127;triangle|red|150|143|130|123|170|163
scene_0036.png,green circle right of blue square,circle|green|198|168|178|148|218|188;square|blue|119|167|99|147|139|187
scene_0037.png,blue triangle above red circle,triangle|blue|131|54|111|34|151|74;circle|red|181|136|161|116|201|156
scene_0038.png,red triangle right of green triangle,triangle|green|69|159|49|139|89|179;triangle|red|142|195|122|175|162|215
scene_0039.png,purple triangle below green circle,triangle|purple|135|179|115|159|155|199;circle|green|198|92|178|72|218|112
scene_0040.png,purple triangle below yellow square,square|yellow|118|63|98|43|138|83;triangle|purple|74|195|54|175|94|215
scene_0041.png,purple circle left of blue triangle,circle|purple|69|69|49|49|89|89;triangle|blue|160|48|140|28|180|68
scene_0042.png,blue square right of blue circle,square|blue|184|150|164|130|204|170;circle|blue|128|103|108|83|148|123
scene_0043.png,red square left of purple triangle,square|red|97|162|77|142|117|182;triangle|purple|216|161|196|141|236|181
scene_0044.png,blue square below green triangle,square|blue|170|169|150|149|190|189;triangle|green|116|47|96|27|136|67
scene_0045.png,blue square below red triangle,triangle|red|127|87|107|67|147|107;square|blue|42|213|22|193|62|233
scene_0046.png,blue triangle below blue square,square|blue|70|92|50|72|90|112;triangle|blue|183|210|163|190|203|230
scene_0047.png,yellow square below yellow circle,square|yellow|80|133|60|113|100|153;circle|yellow|81|67|61|47|101|87
scene_0048.png,red square below green square,square|red|42|194|22|174|62|214;square|green|44|94|24|74|64|114
scene_0049.png,green triangle right of yellow triangle,triangle|yellow|62|81|42|61|82|101;triangle|green|173|142|153|122|193|162
scene_0050.png,purple circle above green circle,circle|green|150|187|130|167|170|207;circle|purple|209|71|189|51|229|91
scene_0051.png,yellow circle left of red circle,circle|yellow|90|202|70|182|110|222;circle|red|206|151|186|131|226|171
scene_0052.png,yellow square below red circle,circle|red|202|44|182|24|222|64;square|yellow|121|211|101|191|141|231
scene_0053.png,purple circle below purple triangle,circle|purple|98|167|78|147|118|187;triangle|purple|138|52|118|32|158|72
scene_0054.png,yellow triangle above green square,square|green|207|187|187|167|227|207;triangle|yellow|176|70|156|50|196|90
scene_0055.png,green circle below yellow circle,circle|yellow|63|50|43|30|83|70;circle|green|49|145|29|125|69|165
scene_0056.png,yellow square right of blue square,square|blue|53|125|33|105|73|145;square|yellow|124|62|104|42|144|82
scene_0057.png,blue triangle below purple circle,circle|purple|88|87|68|67|108|107;triangle|blue|130|207|110|187|150|227
scene_0058.png,green circle below green square,square|green|99|44|79|24|119|64;circle|green|191|202|171|182|211|222
scene_0059.png,blue triangle above blue circle,triangle|blue|211|77|191|57|231|97;circle|blue|164|203|144|183|184|223
scene_0060.png,red circle above purple square,square|purple|140|141|120|121|160|161;circle|red|139|43|119|23|159|63
scene_0061.png,red circle left of red square,square|red|175|108|155|88|195|128;circle|red|40|133|20|113|60|153
scene_0062.png,green square below green triangle,square|green|150|195|130|175|170|215;triangle|green|70|62|50|42|90|82
scene_0063.png,blue circle above blue triangle,circle|blue|183|136|163|116|203|156;triangle|blue|163|209|143|189|183|229
scene_0064.png,red square above green triangle,triangle|green|107|184|87|164|127|204;square|red|119|55|99|35|139|75
scene_0065.png,yellow square above blue circle,square|yellow|138|57|118|37|158|77;circle|blue|188|159|168|139|208|179
scene_0066.png,yellow triangle above green triangle,triangle|yellow|90|105|70|85|110|125;triangle|green|177|206|157|186|197|226
scene_0067.png,yellow triangle above green square,square|green|208|196|188|176|228|216;triangle|yellow|164|43|144|23|184|63
scene_0068.png,yellow circle below blue triangle,circle|yellow|144|114|124|94|164|134;triangle|blue|171|40|151|20|191|60
scene_0069.png,yellow circle below blue circle,circle|yellow|160|170|140|150|180|190;circle|blue|187|100|167|80|207|120
scene_0070.png,purple triangle right of purple square,square|purple|128|54|108|34|148|74;triangle|purple|189|88|169|68|209|108
scene_0071.png,purple triangle below yellow square,square|yellow|164|72|144|52|184|92;triangle|purple|170|199|150|179|190|219
scene_0072.png,purple square left of yellow square,square|yellow|117|76|97|56|137|96;square|purple|57|55|37|35|77|75
scene_0073.png,red circle left of blue circle,circle|red|152|81|132|61|172|101;circle|blue|199|41|179|21|219|61
scene_0074.png,purple square below green triangle,triangle|green|152|41|132|21|172|61;square|purple|166|200|146|180|186|220
scene_0075.png,red circle left of yellow square,square|yellow|137|158|117|138|157|178;circle|red|44|199|24|179|64|219
scene_0076.png,yellow circle right of yellow triangle,circle|yellow|190|112|170|92|210|132;triangle|yellow|92|86|72|66|112|106
scene_0077.png,yellow circle below purple square,circle|yellow|73|185|53|165|93|205;square|purple|73|48|53|28|93|68
scene_0078.png,green triangle right of yellow square,triangle|green|212|142|192|122|232|162;square|yellow|144|157|124|137|164|177
scene_0079.png,yellow triangle right of purple triangle,triangle|purple|54|174|34|154|74|194;triangle|yellow|152|168|132|148|172|188
scene_0080.png,purple triangle right of yellow triangle,triangle|yellow|66|111|46|91|86|131;triangle|purple|204|208|184|188|224|228
scene_0081.png,purple triangle left of green triangle,triangle|green|189|69|169|49|209|89;triangle|purple|58|117|38|97|78|137
scene_0082.png,yellow triangle below blue triangle,triangle|yellow|187|186|167|166|207|206;triangle|blue|171|118|151|98|191|138
scene_0083.png,red circle right of purple triangle,triangle|purple|60|144|40|124|80|164;circle|red|150|170|130|150|170|190
scene_0084.png,blue circle above red circle,circle|red|199|178|179|158|219|198;circle|blue|104|43|84|23|124|63
scene_0085.png,blue circle below blue triangle,circle|blue|95|137|75|117|115|157;triangle|blue|73|43|53|23|93|63
scene_0086.png,purple triangle right of red square,triangle|purple|178|54|158|34|198|74;square|red|90|57|70|37|110|77
scene_0087.png,purple triangle left of yellow circle,circle|yellow|169|205|149|185|189|225;triangle|purple|60|110|40|90|80|130
scene_0088.png,red circle below green triangle,circle|red|111|202|91|182|131|222;triangle|green|154|120|134|100|174|140
scene_0089.png,blue square below yellow square,square|blue|123|195|103|175|143|215;square|yellow|216|73|196|53|236|93
scene_0090.png,yellow triangle below purple circle,circle|purple|123|59|103|39|143|79;triangle|yellow|92|146|72|126|112|166
scene_0091.png,green circle left of green square,square|green|135|147|115|127|155|167;circle|green|60|213|40|193|80|233
scene_0092.png,purple square left of yellow square,square|purple|87|171|67|151|107|191;square|yellow|214|81|194|61|234|101
scene_0093.png,red circle right of purple square,square|purple|120|100|100|80|140|120;circle|red|206|66|186|46|226|86
scene_0094.png,green circle above blue square,square|blue|161|183|141|163|181|203;circle|green|156|122|136|102|176|142
scene_0095.png,blue square left of green square,square|blue|60|47|40|27|80|67;square|green|160|59|140|39|180|79
scene_0096.png,purple circle below yellow circle,circle|yellow|45|51|25|31|65|71;circle|purple|139|200|119|180|159|220
scene_0097.png,blue square below blue triangle,triangle|blue|156|146|136|126|176|166;square|blue|192|204|172|184|212|224
scene_0098.png,yellow triangle above red triangle,triangle|yellow|127|45|107|25|147|65;triangle|red|211|167|191|147|231|187
scene_0099.png,blue circle above yellow square,square|yellow|49|195|29|175|69|215;circle|blue|84|52|64|32|104|72
